user,bookNFT,outstanding_raw,outstanding_like,inflated
0x3d3e5223330a00C76027852E5272f208e0e17031,0x51D9A55CeeA0fc14BD8DbA60af5284F0e17fC936,49905198686821264,49905198686.821264,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,43509501863292826,43509501863.292826,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x991739959726cb96f1caFF52c968f4f2912795Ff,33779865008772358,33779865008.772358,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,33715500981089583,33715500981.089583,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x8EcBaA55E85429D968129207fad35f0d049424CA,33586156647349498,33586156647.349498,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x6DC830BCe79D7d6F6db60d0bFAE8389192Bbf630,33260246002227140,33260246002.22714,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xAB976072B6Be23De212437d8f42375D5131daFb9,32804146164470289,32804146164.470289,true
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0xAB976072B6Be23De212437d8f42375D5131daFb9,32804146164470289,32804146164.470289,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3ccD28dfa50a169435002b0BC3A363a0A7E23aa0,32341276869466175,32341276869.466175,true
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0xdDBa03e8e8459d4afD9ac6eA226209b7E56d5AF1,30034509496433437,30034509496.433437,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,28652421817165097,28652421817.165097,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,24899051583524954,24899051583.524954,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x93bec61F64227EeBBD0bB14E1AeCE56D63B9e0F7,24166971751219602,24166971751.219602,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x0d9daD7d5BA162c98260398B5494cC133292b5Ad,24041398294068009,24041398294.068009,true
0xbf2217e4d458B4219DF6943853a053Ad4db772fa,0x6d4f3EB092a8312a52104B8786Cf5D6305261D07,22737449842222145,22737449842.222145,true
