owner,bookNFT,tokenId,stakedAmount,claimable_raw,owed_raw,owed_like
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,146,1000000000,11238500327029861086,0,0.0
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,420,10000000,112385003270298610,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,797,3000000,33715500981089583,0,0.0
0x2696cBF8Ef06175cd2DDb80b928f7A8E81De1e3e,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,974,100000000,1123850032700000000,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,1522,2,0,0,0.0
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,6,100000000,14058008,13921732,13.921732
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,134,10000000,183617,181837,0.181837
0xa037Feb6508A8C2F93bb19f6721730C45921f2D0,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,180,2000000000,36723419,36367430,36.36743
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,206,1000001248,38313235,37941834,37.941834
0xD5013D3802F2B870209058e0Ff105Bf97F8B822D,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,363,100000000,4279886,4238397,4.238397
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,369,1126000000,40940508,40543639,40.543639
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,399,25000000,459042,454592,0.454592
0xee3500175076c19Cf45889fdfd2eC52029bAca0C,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,480,1000000,38313,37941,0.037941
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,892,100000000,3635924,3600678,3.600678
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0x3bf42DA7f5781d3940B2318484c907Ee33e81d8D,968,10000000000,363592437,360067857,360.067857
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x595FA2345b754c5F957099E2D8a976617C40710c,9,20000000,1890681,1683001,1.683001
0x41E2A4646D4D04e1D31FC1D6cc2d221633E469e5,0x595FA2345b754c5F957099E2D8a976617C40710c,16,1000000,94534,84149,0.084149
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x595FA2345b754c5F957099E2D8a976617C40710c,21,3462612610,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x595FA2345b754c5F957099E2D8a976617C40710c,28,1500000000,0,0,0.0
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x595FA2345b754c5F957099E2D8a976617C40710c,79,100000000,0,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x595FA2345b754c5F957099E2D8a976617C40710c,83,1000000000,0,0,0.0
0x5B357b6DFBc10151dd4775c70b5355a7C8498f29,0x595FA2345b754c5F957099E2D8a976617C40710c,255,1000000000,0,0,0.0
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x595FA2345b754c5F957099E2D8a976617C40710c,513,10000000,0,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x595FA2345b754c5F957099E2D8a976617C40710c,790,3000000,0,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x6B9184df38427a61814e638900fd9BE999E0bD02,1074,1000000000,0,0,0.0
0xadF8936D5Fd9DFC6438c982714681a1B3d5a83c2,0x6B9184df38427a61814e638900fd9BE999E0bD02,1077,12053349547,0,0,0.0
0xce9787148249216E6010D0C8eA4c458B8e93909F,0x6B9184df38427a61814e638900fd9BE999E0bD02,1076,830000,0,0,0.0
0xbf2217e4d458B4219DF6943853a053Ad4db772fa,0x6B9184df38427a61814e638900fd9BE999E0bD02,1089,10000000,0,0,0.0
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0x6B9184df38427a61814e638900fd9BE999E0bD02,1067,710000000,267421949,264133239,264.133239
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x6B9184df38427a61814e638900fd9BE999E0bD02,1086,10000000000,96784271,95594034,95.594034
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x6B9184df38427a61814e638900fd9BE999E0bD02,1123,3000000,29035,28677,0.028677
0xadF8936D5Fd9DFC6438c982714681a1B3d5a83c2,0xa750Ef555fC0368987974b34e058200a81BEd78d,11,100000000,1916682877100000000,0,0.0
0xf28bAAD89cdFb9CAEDA0cA7bB4A978ADBD432ed5,0xa750Ef555fC0368987974b34e058200a81BEd78d,14,10000000,191668287715869858,0,0.0
0x63252957c9f9a6E7D4558Fd7cC64Be55E8d38A81,0xa750Ef555fC0368987974b34e058200a81BEd78d,104,2000000000,38333657542000000000,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xa750Ef555fC0368987974b34e058200a81BEd78d,125,1000000000,19166828771000000000,0,0.0
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0xa750Ef555fC0368987974b34e058200a81BEd78d,202,1000000000,19166828771213738289,0,0.0
